,0,1,2
135,The Busy Body,1967,https://en.wikipedia.org/wiki/Richard_Pryor
136,Dear White People,2017,https://en.wikipedia.org/wiki/Barry_Jenkins
137,Paid in Full,2002,https://en.wikipedia.org/wiki/Charles_Stone_III
138,Bait,2000,https://en.wikipedia.org/wiki/Antoine_Fuqua
139,"New York, I Love You",2008,https://en.wikipedia.org/wiki/Hughes_brothers
140,Fra unter Einfluss,2001,https://en.wikipedia.org/wiki/Vaginal_Davis
141,"^ a b ""November 11 Provost's Lecture with Filmmaker Byron Hurt"". Stony Brook University. November 4, 2013. Archived from the original on January 16, 2015. Retrieved January 27, 2015.",2013,https://en.wikipedia.org/wiki/Byron_Hurt
142,Antonyms of Beauty,2013,https://en.wikipedia.org/wiki/Khalik_Allah
143,Glee,0000,https://en.wikipedia.org/wiki/Paris_Barclay
144,Monster's Ball,2001,https://en.wikipedia.org/wiki/Lee_Daniels
145,Cedric the Entertainer: Starting Lineup,2002,https://en.wikipedia.org/wiki/Leslie_Small
146,Carter's Army,1970,https://en.wikipedia.org/wiki/Richard_Pryor
147,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,https://en.wikipedia.org/wiki/Kevin_Rodney_Sullivan
148,Set It Off,1996,https://en.wikipedia.org/wiki/F._Gary_Gray
149,The Woman King,2022,https://en.wikipedia.org/wiki/Gina_Prince-Bythewood
150,Black-ish,2020,https://en.wikipedia.org/wiki/Matthew_A._Cherry
151,King Arthur,2004,https://en.wikipedia.org/wiki/Antoine_Fuqua
152,Ali Said Hassan,0000,https://en.wikipedia.org/wiki/Abdisalam_Aato
153,Eat,2011,https://en.wikipedia.org/wiki/Janicza_Bravo
154,Passion Fish,1992,https://en.wikipedia.org/wiki/Vondie_Curtis-Hall
155,The Goodwin Games,2013,https://en.wikipedia.org/wiki/Jerrod_Carmichael
156,Michael Jackson: Searching for Neverland,2017,https://en.wikipedia.org/wiki/Dianne_Houston
157,The Happy Sad,2013,https://en.wikipedia.org/wiki/Rodney_Evans_(filmmaker)
158,The Big Hit,1998,https://en.wikipedia.org/wiki/Ben_Ramsey_(filmmaker)
159,The Negro Soldier,1943,https://en.wikipedia.org/wiki/Carlton_Moss
160,Young Doctors in Love,1982,https://en.wikipedia.org/wiki/Larry_%22Flash%22_Jenkins
161,The United States vs. Billie Holiday,2021,https://en.wikipedia.org/wiki/Lee_Daniels
162,Mascots,2016,https://en.wikipedia.org/wiki/Dah%C3%A9li_Hall
163,Operation Dumbo Drop,1995,https://en.wikipedia.org/wiki/Doug_E._Doug
164,Professor Marston and the Wonder Women,2017,https://en.wikipedia.org/wiki/Angela_Robinson_(filmmaker)
165,"^ Ltd, Earl G. Graves",1980,https://en.wikipedia.org/wiki/Topper_Carew
166,Love at the Store,2014,https://en.wikipedia.org/wiki/Jerrod_Carmichael
